Departamento,Lat,Lon,NumeroCasos
Antioquia,7.1986,-75.3412,59
Atlántico,10.6966,-74.8741,1
Barranquilla,11.0041,-74.807,11
Bogotá,4.711,-74.0721,169
Boyacá,5.4545,73.362,1
Caldas,5.2983,-75.2479,10
Cartagena,10.3932,-75.4832,26
Casanare,5.7589,-71.5724,1
Cauca,2.705,-76.826,9
Cesar,9.3373,-73.6536,2
Cundinamarca,5.026,-74.03,22
Huila,2.5359,-75.5277,14
Meta,3.272,-73.0877,8
Nariño,1.2892,-77.3579,1
Norte de Santander,7.9463,-72.8988,15
Quindío,4.461,-75.6674,12
Risaralda,5.3158,-75.9928,19
San Andrés Islas,12.545,-81.7076,1
Santa Marta,11.2404,-74.211,5
Santander,6.6437,-73.6536,4
Tolima,4.0925,-75.1545,9
Valle,3.8009,-76.6413,71
